movieNm,audiAcc,openDt,movieCd,movieNmEn,prdtYear,typeNm,nations,genres,directors,actors,watchGradeNm,distributors,search_4w_before,search_2w_before,search_1w_before,search_opening,search_1w_after,max_search,avg_search,search_volatility,search_growth_rate,director_power,actor_power,ticket_power,genre_애니메이션,genre_어드벤처,genre_사극,genre_SF,genre_멜로/로맨스,genre_다큐멘터리,genre_뮤지컬,genre_판타지,genre_공연,genre_전쟁,genre_공포(호러),genre_서부극(웨스턴),genre_드라마,genre_액션,genre_범죄,genre_기타,genre_스릴러,genre_성인물(에로),genre_코미디,genre_미스터리,genre_가족,genre_Unknown,release_month,release_quarter,release_year,release_dayofweek,is_weekend,season,season_fall,season_spring,season_summer_peak,season_winter_peak,distributor_freq,distributor_target,watchGrade_encoded
봄날,34236,2022-04-27,20217769,When Spring Comes,2021.0,장편,한국,"드라마,액션",이돈구,"손현주,박혁권,손숙,정석용,박소진",15세이상관람가,(주)콘텐츠판다,7.0,12.7,20.5,25.8,18.5,25.8,15.483333333333334,7.356471074276488,1.9285714285714286,28339.5,28339.5,28339.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4.0,2.0,2022.0,2.0,0,spring,False,True,False,False,6.0,19452.166666666668,4
봄날은 간다,8144,2001-09-28,20010013,One Fine Spring Day,2001.0,장편,한국,드라마,허진호,"유지태,이영애,박인환,신신애,김태진",15세관람가,(주)시네마서비스,5.0,10.3,16.8,18.7,11.9,18.7,11.633333333333335,5.34852004452322,2.3600000000000003,28339.5,28339.5,28339.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.0,3.0,2001.0,4.0,0,fall,True,False,False,False,1.0,8144.0,3
부기맨,10976,2023-06-06,20231959,The Boogeyman,2022.0,장편,미국,공포(호러),롭 새비지,"소피 대처,크리스 메시나,데이비드 다스트말치안",15세이상관람가,월트디즈니컴퍼니코리아 유한책임회사,6.1,10.8,17.0,18.3,11.8,18.3,11.700000000000001,5.178416746458323,1.7868852459016396,13218.0,28339.5,22290.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.0,2.0,2023.0,1.0,0,spring,False,True,False,False,54.0,2347766.537037037,4
부니베어: 원시시대 대모험,5006,2020-10-22,20192271,Boonie Bears : Blast Into The Past,2019.0,장편,중국,"애니메이션,판타지,어드벤처",정량,"박성영,이승행",전체관람가,(주)라이크콘텐츠,5.0,7.7,12.7,14.7,11.2,14.7,9.466666666666667,3.9913239240465894,1.5399999999999998,28339.5,11022.0,17949.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,4.0,2020.0,3.0,0,fall,True,False,False,False,7.0,14654.285714285714,11
부산행:익스텐디드,2441,2020-07-01,20200846,TRAIN TO BUSAN:EXTENDED,2016.0,장편,한국,"액션,스릴러",연상호,"공유,정유미,마동석,김수안,최우식",15세이상관람가,(주)넥스트엔터테인먼트월드(NEW),7.9,18.8,23.8,28.3,16.4,28.3,18.233333333333334,7.197962674720304,2.0126582278481013,28339.5,28339.5,28339.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,7.0,3.0,2020.0,2.0,0,summer_peak,False,False,True,False,48.0,729959.3541666666,4
부활,18391,2020-07-09,20201841,Everything Everywhere All At Once,2020.0,장편,한국,다큐멘터리,구수환,"하나에 나츠키,키토 아카리,시모노 히로,마츠오카 요시츠구",전체관람가,(주)중헌홀딩스,5.1,7.0,11.7,14.3,8.7,14.3,8.783333333333333,3.5779416801656603,1.2941176470588236,28339.5,28339.5,28339.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,3.0,2020.0,3.0,0,summer_peak,False,False,True,False,1.0,18391.0,11
부활: 그 증거,39120,2020-10-08,20200246,Stigma,2020.0,장편,한국,다큐멘터리,김상철,"권오중,이성혜,이용규,이어령,천정은",전체관람가,(주)영화사 진진,10.2,15.1,22.9,30.7,21.1,30.7,18.3,8.13461738497884,1.2450980392156863,28339.5,28339.5,28339.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,4.0,2020.0,3.0,0,fall,True,False,False,False,17.0,9102.823529411764,11
북극백화점의 안내원,17585,2024-06-19,20234622,The Concierge,2023.0,장편,일본,애니메이션,이타즈 요시미,"하나에 나츠키,키토 아카리,시모노 히로,마츠오카 요시츠구",전체관람가,(주)팬엔터테인먼트,5.0,8.1,13.4,16.8,10.3,16.8,10.183333333333332,4.302286213940986,1.6800000000000002,28339.5,28339.5,28339.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,2.0,2024.0,2.0,0,spring,False,True,False,False,1.0,17585.0,11
북스마트,12320,2021-01-27,20201022,Booksmart,2019.0,장편,미국,코미디,올리비아 와일드,"하나에 나츠키,키토 아카리,시모노 히로,마츠오카 요시츠구",15세이상관람가,(주)콘텐츠판다,5.0,6.0,8.8,12.1,7.9,12.1,7.466666666666666,2.7478476425498313,0.7600000000000001,28339.5,28339.5,28339.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1.0,2021.0,2.0,0,winter_peak,False,False,False,True,6.0,19452.166666666668,4
분노의 강,11608,2024-05-29,20249534,The River of Wrath,2023.0,장편,한국,드라마,윤철형,"김강일,윤경호,김소빈,한유은,이가희",12세이상관람가,(주)이놀미디어,5.5,11.4,19.8,21.4,12.5,21.4,12.833333333333334,6.621983590033024,2.6,28339.5,240387.0,155567.99999999997,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.0,2.0,2024.0,2.0,0,spring,False,True,False,False,11.0,24789.909090909092,1
